user_name,skillset,education,experience_company,experience_title,experience_description,job_like_title,job_like_description,job_like_skills
User1,"Python, SQL, Machine Learning",B.Tech CSE,TCS,Data Analyst,"Worked on real-time dashboards, data pipelines, and ML models for prediction.",Data Scientist,Create ML models using Python and large datasets.,"Python, SQL, ML"
User2,"Java, React, Spring Boot",B.Tech IT,Infosys,Software Engineer,"Built scalable web apps with React and Node.js, integrated APIs.",Software Engineer,Develop and maintain full-stack web apps.,"React, Node.js, JavaScript"
User3,"Python, PyTorch, TensorFlow",M.Tech AI,Accenture,ML Intern,Implemented deep learning models for NLP and computer vision tasks.,ML Engineer,Work on AI algorithms and deep learning models.,"PyTorch, TensorFlow"
User4,"HTML, CSS, JavaScript",B.Sc CS,Wipro,Frontend Dev,Designed responsive front-end interfaces and improved UX.,Frontend Developer,Design front-end using React and JS.,"JavaScript, HTML, CSS"
User5,"Excel, SQL, Tableau",B.E Software,Amazon,Business Analyst,Analyzed business requirements and created BI reports.,Data Analyst,Generate reports and insights from data.,"Excel, PowerBI"
User6,"Python, SQL, Machine Learning",B.Tech CSE,TCS,Data Analyst,"Worked on real-time dashboards, data pipelines, and ML models for prediction.",Data Scientist,Create ML models using Python and large datasets.,"Python, SQL, ML"
User7,"Java, React, Spring Boot",B.Tech IT,Infosys,Software Engineer,"Built scalable web apps with React and Node.js, integrated APIs.",Software Engineer,Develop and maintain full-stack web apps.,"React, Node.js, JavaScript"
User8,"Python, PyTorch, TensorFlow",M.Tech AI,Accenture,ML Intern,Implemented deep learning models for NLP and computer vision tasks.,ML Engineer,Work on AI algorithms and deep learning models.,"PyTorch, TensorFlow"
User9,"HTML, CSS, JavaScript",B.Sc CS,Wipro,Frontend Dev,Designed responsive front-end interfaces and improved UX.,Frontend Developer,Design front-end using React and JS.,"JavaScript, HTML, CSS"
User10,"Excel, SQL, Tableau",B.E Software,Amazon,Business Analyst,Analyzed business requirements and created BI reports.,Data Analyst,Generate reports and insights from data.,"Excel, PowerBI"
User11,"Python, SQL, Machine Learning",B.Tech CSE,TCS,Data Analyst,"Worked on real-time dashboards, data pipelines, and ML models for prediction.",Data Scientist,Create ML models using Python and large datasets.,"Python, SQL, ML"
User12,"Java, React, Spring Boot",B.Tech IT,Infosys,Software Engineer,"Built scalable web apps with React and Node.js, integrated APIs.",Software Engineer,Develop and maintain full-stack web apps.,"React, Node.js, JavaScript"
User13,"Python, PyTorch, TensorFlow",M.Tech AI,Accenture,ML Intern,Implemented deep learning models for NLP and computer vision tasks.,ML Engineer,Work on AI algorithms and deep learning models.,"PyTorch, TensorFlow"
User14,"HTML, CSS, JavaScript",B.Sc CS,Wipro,Frontend Dev,Designed responsive front-end interfaces and improved UX.,Frontend Developer,Design front-end using React and JS.,"JavaScript, HTML, CSS"
User15,"Excel, SQL, Tableau",B.E Software,Amazon,Business Analyst,Analyzed business requirements and created BI reports.,Data Analyst,Generate reports and insights from data.,"Excel, PowerBI"
User16,"Python, SQL, Machine Learning",B.Tech CSE,TCS,Data Analyst,"Worked on real-time dashboards, data pipelines, and ML models for prediction.",Data Scientist,Create ML models using Python and large datasets.,"Python, SQL, ML"
User17,"Java, React, Spring Boot",B.Tech IT,Infosys,Software Engineer,"Built scalable web apps with React and Node.js, integrated APIs.",Software Engineer,Develop and maintain full-stack web apps.,"React, Node.js, JavaScript"
User18,"Python, PyTorch, TensorFlow",M.Tech AI,Accenture,ML Intern,Implemented deep learning models for NLP and computer vision tasks.,ML Engineer,Work on AI algorithms and deep learning models.,"PyTorch, TensorFlow"
User19,"HTML, CSS, JavaScript",B.Sc CS,Wipro,Frontend Dev,Designed responsive front-end interfaces and improved UX.,Frontend Developer,Design front-end using React and JS.,"JavaScript, HTML, CSS"
User20,"Excel, SQL, Tableau",B.E Software,Amazon,Business Analyst,Analyzed business requirements and created BI reports.,Data Analyst,Generate reports and insights from data.,"Excel, PowerBI"
User21,"Python, SQL, Machine Learning",B.Tech CSE,TCS,Data Analyst,"Worked on real-time dashboards, data pipelines, and ML models for prediction.",Data Scientist,Create ML models using Python and large datasets.,"Python, SQL, ML"
User22,"Java, React, Spring Boot",B.Tech IT,Infosys,Software Engineer,"Built scalable web apps with React and Node.js, integrated APIs.",Software Engineer,Develop and maintain full-stack web apps.,"React, Node.js, JavaScript"
User23,"Python, PyTorch, TensorFlow",M.Tech AI,Accenture,ML Intern,Implemented deep learning models for NLP and computer vision tasks.,ML Engineer,Work on AI algorithms and deep learning models.,"PyTorch, TensorFlow"
